"","time_quasi_extinct"
"1",309
"2",77
"3",130
"4",161
"5",331
"6",74
"7",161
"8",311
"9",281
"10",225
"11",287
"12",477
"13",234
"14",113
"15",225
"16",224
"17",161
"18",204
"19",209
"20",499
"21",372
"22",269
"23",138
"24",297
"25",498
"26",434
"27",168
"28",441
"29",12
"30",346
"31",235
"32",12
"33",8
"34",246
"35",142
"36",150
"37",395
"38",171
"39",242
"40",80
"41",418
"42",348
"43",342
"44",441
"45",161
"46",40
"47",381
"48",428
"49",444
"50",389
"51",102
"52",462
"53",105
"54",328
"55",104
"56",345
"57",250
"58",417
"59",243
"60",225
"61",333
"62",434
"63",62
"64",422
"65",272
"66",117
"67",364
"68",274
"69",473
"70",41
"71",5
"72",334
"73",32
"74",447
"75",357
"76",135
"77",26
"78",326
"79",302
"80",231
"81",192
"82",437
"83",49
"84",199
"85",240
"86",406
"87",299
"88",479
"89",380
"90",122
"91",52
"92",22
"93",431
"94",126
"95",450
"96",265
"97",223
"98",362
"99",42
"100",318
"101",161
"102",38
"103",83
"104",17
"105",264
"106",11
"107",429
"108",55
"109",342
"110",202
"111",182
"112",486
"113",130
"114",156
"115",164
"116",301
"117",10
"118",419
"119",193
"120",374
"121",140
"122",244
"123",118
"124",273
"125",234
"126",461
"127",168
"128",155
"129",123
"130",113
"131",139
"132",6
"133",221
"134",140
"135",43
"136",135
"137",475
"138",82
"139",382
"140",36
"141",209
"142",136
"143",358
"144",103
"145",179
"146",410
"147",251
"148",85
"149",236
"150",55
"151",27
"152",463
"153",342
"154",348
"155",30
"156",401
"157",398
"158",408
"159",121
"160",133
"161",33
"162",273
"163",404
"164",385
"165",75
"166",105
"167",185
"168",24
"169",206
"170",159
"171",407
"172",262
"173",200
"174",226
"175",237
"176",357
"177",29
"178",251
"179",98
"180",20
"181",8
"182",170
"183",8
"184",215
"185",216
"186",69
"187",160
"188",315
"189",318
"190",471
"191",458
"192",84
"193",153
"194",7
"195",97
"196",64
"197",322
"198",145
"199",295
"200",210
"201",271
"202",336
"203",358
"204",465
"205",108
"206",295
"207",425
"208",115
"209",80
"210",154
"211",372
"212",87
"213",279
"214",347
"215",287
"216",180
"217",50
"218",299
"219",95
"220",159
"221",224
"222",190
"223",76
"224",6
"225",411
"226",238
"227",71
"228",292
"229",315
"230",482
"231",476
"232",51
"233",447
"234",73
"235",209
"236",213
"237",372
"238",255
"239",238
"240",10
"241",113
"242",203
"243",19
"244",19
"245",374
"246",220
"247",285
"248",84
"249",196
"250",203
"251",143
"252",313
"253",482
"254",46
"255",79
"256",440
"257",53
"258",448
"259",14
"260",250
"261",362
"262",117
"263",95
"264",25
"265",464
"266",352
"267",103
"268",10
"269",346
"270",250
"271",373
"272",93
"273",419
"274",492
"275",152
"276",228
"277",235
"278",149
"279",287
"280",347
"281",423
"282",158
"283",143
"284",475
"285",22
"286",154
"287",41
"288",325
"289",378
"290",99
"291",282
"292",98
"293",152
"294",486
"295",349
"296",168
"297",455
"298",29
"299",243
"300",181
"301",228
"302",226
"303",489
"304",232
"305",342
"306",173
"307",56
"308",398
"309",490
"310",413
"311",452
"312",397
"313",456
"314",164
"315",487
"316",473
"317",389
"318",439
"319",204
"320",54
"321",71
"322",10
"323",449
"324",435
"325",120
"326",11
"327",44
"328",312
"329",382
"330",273
"331",334
"332",165
"333",120
"334",151
"335",365
"336",313
"337",371
"338",417
"339",190
"340",241
"341",72
"342",477
"343",86
"344",134
"345",177
"346",11
"347",375
"348",216
"349",119
"350",401
"351",54
"352",241
"353",448
"354",97
"355",186
"356",249
"357",221
"358",493
"359",353
"360",78
"361",239
"362",209
"363",475
"364",124
"365",353
"366",337
"367",154
"368",353
"369",157
"370",462
"371",5
"372",296
"373",282
"374",430
"375",237
"376",110
"377",265
"378",163
"379",28
"380",344
"381",275
"382",269
"383",464
"384",467
"385",352
"386",384
"387",52
"388",191
"389",374
"390",81
"391",397
"392",177
"393",80
"394",346
"395",88
"396",474
"397",231
"398",340
"399",6
"400",376
"401",341
"402",458
"403",184
"404",410
"405",146
"406",192
"407",186
"408",218
"409",411
"410",451
"411",423
"412",51
"413",280
"414",427
"415",306
"416",298
"417",473
"418",428
"419",108
"420",394
"421",170
"422",361
"423",232
"424",401
"425",88
"426",48
"427",456
"428",285
"429",433
"430",270
"431",67
"432",462
"433",256
"434",477
"435",107
"436",285
"437",117
"438",6
"439",19
"440",166
"441",231
"442",272
"443",87
"444",19
"445",110
"446",64
"447",414
"448",116
"449",183
"450",67
"451",147
"452",14
"453",268
"454",259
"455",282
"456",227
"457",209
"458",467
"459",154
"460",314
"461",447
"462",46
"463",128
"464",236
"465",95
"466",488
"467",121
"468",303
"469",456
