"","time_quasi_extinct"
"1",51
"2",479
"3",21
"4",239
"5",14
"6",212
"7",89
"8",35
"9",55
"10",52
"11",81
"12",273
"13",20
"14",233
"15",72
"16",24
"17",157
"18",299
"19",161
"20",8
"21",185
"22",5
"23",66
"24",95
"25",127
"26",285
"27",4
"28",124
"29",306
"30",172
"31",184
"32",264
"33",138
"34",19
"35",4
"36",467
"37",140
"38",35
"39",322
"40",153
"41",43
"42",22
"43",33
"44",146
"45",16
"46",26
"47",280
"48",246
"49",83
"50",61
"51",59
"52",183
"53",17
"54",141
"55",124
"56",82
"57",113
"58",42
"59",147
"60",97
"61",235
"62",102
"63",92
"64",98
"65",121
"66",76
"67",45
"68",2
"69",223
"70",237
"71",228
"72",74
"73",18
"74",13
"75",185
"76",166
"77",47
"78",157
"79",26
"80",101
"81",44
"82",244
"83",480
"84",81
"85",46
"86",19
"87",38
"88",8
"89",187
"90",29
"91",7
"92",124
"93",35
"94",102
"95",122
"96",54
"97",72
"98",171
"99",329
"100",256
"101",229
"102",111
"103",296
"104",135
"105",156
"106",212
"107",33
"108",141
"109",317
"110",159
"111",203
"112",176
"113",93
"114",150
"115",65
"116",13
"117",19
"118",40
"119",202
"120",23
"121",76
"122",29
"123",135
"124",180
"125",114
"126",84
"127",8
"128",56
"129",32
"130",66
"131",378
"132",45
"133",37
"134",203
"135",57
"136",288
"137",35
"138",14
"139",129
"140",17
"141",82
"142",399
"143",141
"144",123
"145",163
"146",120
"147",132
"148",148
"149",261
"150",15
"151",464
"152",141
"153",85
"154",50
"155",157
"156",24
"157",90
"158",223
"159",184
"160",248
"161",225
"162",64
"163",341
"164",162
"165",107
"166",186
"167",338
"168",124
"169",178
"170",280
"171",263
"172",418
"173",92
"174",88
"175",4
"176",123
"177",163
"178",59
"179",288
"180",66
"181",193
"182",33
"183",119
"184",90
"185",377
"186",239
"187",479
"188",111
"189",46
"190",82
"191",219
"192",4
"193",27
"194",3
"195",166
"196",141
"197",21
"198",38
"199",37
"200",208
"201",52
"202",338
"203",24
"204",393
"205",128
"206",14
"207",54
"208",13
"209",251
"210",44
"211",118
"212",322
"213",127
"214",225
"215",135
"216",183
"217",63
"218",202
"219",109
"220",3
"221",101
"222",24
"223",314
"224",5
"225",121
"226",53
"227",159
"228",8
"229",330
"230",140
"231",159
"232",333
"233",5
"234",20
"235",30
"236",58
"237",61
"238",196
"239",11
"240",154
"241",150
"242",134
"243",16
"244",402
"245",50
"246",75
"247",132
"248",16
"249",252
"250",9
"251",68
"252",48
"253",134
"254",327
"255",92
"256",25
"257",14
"258",207
"259",31
"260",81
"261",184
"262",19
"263",16
"264",124
"265",12
"266",96
"267",31
"268",26
"269",72
"270",37
"271",261
"272",52
"273",11
"274",44
"275",27
"276",12
"277",10
"278",100
"279",281
"280",121
"281",41
"282",321
"283",17
"284",60
"285",168
"286",169
"287",7
"288",193
"289",98
"290",107
"291",27
"292",85
"293",11
"294",173
"295",167
"296",23
"297",4
"298",315
"299",16
"300",142
"301",88
"302",211
"303",95
"304",27
"305",50
"306",171
"307",70
"308",20
"309",265
"310",41
"311",4
"312",61
"313",88
"314",16
"315",134
"316",276
"317",52
"318",289
"319",191
"320",131
"321",150
"322",303
"323",59
"324",224
"325",231
"326",305
"327",255
"328",268
"329",484
"330",26
"331",132
"332",41
"333",7
"334",411
"335",72
"336",102
"337",162
"338",397
"339",38
"340",15
"341",59
"342",27
"343",130
"344",190
"345",27
"346",167
"347",23
"348",7
"349",281
"350",63
"351",201
"352",9
"353",148
"354",121
"355",20
"356",23
"357",24
"358",127
"359",223
"360",82
"361",259
"362",32
