"","TTE","PATCH"
"1",51,"B"
"2",78,"C"
"3",172,"C"
"4",39,"B"
"5",198,"B"
"6",81,"C"
"7",14,"C"
"8",130,"B"
"9",134,"C"
"10",61,"B"
"11",44,"C"
"12",79,"C"
"13",122,"C"
"14",12,"C"
"15",48,"C"
"16",79,"C"
"17",115,"C"
"18",186,"C"
"19",62,"C"
"20",71,"C"
"21",379,"C"
"22",41,"C"
"23",155,"C"
"24",24,"C"
"25",20,"C"
"26",245,"C"
"27",45,"C"
"28",175,"B"
"29",26,"C"
"30",153,"B"
"31",197,"C"
"32",52,"C"
"33",166,"C"
"34",34,"C"
"35",125,"B"
"36",38,"C"
"37",50,"C"
"38",112,"B"
"39",104,"C"
"40",51,"C"
"41",20,"B"
"42",179,"C"
"43",143,"C"
"44",134,"C"
"45",105,"C"
"46",20,"C"
"47",161,"B"
"48",55,"C"
"49",457,"C"
"50",251,"C"
"51",26,"C"
"52",15,"C"
"53",33,"C"
"54",92,"C"
"55",109,"C"
"56",23,"B"
"57",82,"C"
"58",175,"C"
"59",126,"B"
"60",261,"C"
"61",99,"C"
"62",103,"C"
"63",75,"C"
"64",170,"C"
"65",39,"B"
"66",108,"C"
"67",9,"C"
"68",130,"B"
"69",248,"B"
"70",44,"C"
"71",143,"B"
"72",62,"C"
"73",94,"C"
"74",95,"C"
"75",299,"C"
"76",60,"C"
"77",9,"C"
"78",175,"C"
"79",136,"C"
"80",111,"C"
"81",44,"C"
"82",197,"B"
"83",88,"C"
"84",131,"C"
"85",72,"C"
"86",110,"C"
"87",235,"B"
"88",23,"B"
"89",30,"C"
"90",125,"B"
"91",92,"C"
"92",22,"C"
"93",98,"B"
"94",12,"C"
"95",25,"C"
"96",176,"C"
"97",67,"B"
"98",262,"C"
"99",13,"C"
"100",99,"C"
"101",30,"B"
"102",67,"C"
"103",59,"C"
"104",108,"C"
"105",188,"B"
"106",9,"C"
"107",29,"C"
"108",34,"C"
"109",27,"C"
"110",29,"C"
"111",109,"B"
"112",12,"B"
"113",118,"C"
"114",57,"C"
"115",22,"C"
"116",45,"C"
"117",58,"B"
"118",31,"B"
"119",86,"C"
"120",341,"C"
"121",134,"C"
"122",165,"C"
"123",25,"C"
"124",131,"C"
"125",16,"C"
"126",55,"C"
"127",111,"B"
"128",7,"C"
"129",28,"B"
"130",116,"C"
"131",166,"C"
"132",31,"C"
"133",39,"C"
"134",464,"C"
"135",94,"B"
"136",16,"B"
"137",52,"B"
"138",95,"B"
"139",32,"C"
"140",45,"B"
"141",30,"C"
"142",28,"C"
"143",167,"C"
"144",21,"C"
"145",13,"C"
"146",36,"B"
"147",87,"C"
"148",72,"C"
"149",74,"B"
"150",150,"C"
"151",46,"C"
"152",47,"C"
"153",133,"C"
"154",97,"C"
"155",44,"B"
"156",11,"C"
"157",80,"B"
"158",50,"C"
"159",66,"C"
"160",52,"C"
"161",83,"C"
"162",25,"C"
"163",10,"C"
"164",119,"C"
"165",188,"C"
"166",109,"C"
"167",28,"C"
"168",63,"C"
"169",95,"C"
"170",16,"C"
"171",125,"B"
"172",34,"C"
"173",52,"C"
"174",27,"B"
"175",192,"B"
"176",69,"B"
"177",134,"C"
"178",209,"C"
"179",121,"C"
"180",102,"B"
"181",36,"B"
"182",17,"C"
"183",96,"C"
"184",163,"C"
"185",143,"B"
"186",131,"C"
"187",49,"C"
"188",370,"C"
"189",102,"C"
"190",350,"B"
"191",13,"B"
"192",30,"C"
"193",38,"C"
"194",245,"C"
"195",153,"C"
"196",20,"C"
"197",35,"C"
"198",58,"C"
"199",29,"C"
"200",277,"B"
"201",142,"C"
"202",66,"C"
"203",104,"C"
"204",80,"B"
"205",45,"C"
"206",112,"C"
"207",68,"C"
"208",15,"C"
"209",242,"C"
"210",57,"B"
"211",22,"C"
"212",52,"C"
"213",158,"C"
"214",54,"C"
"215",51,"C"
"216",24,"C"
"217",116,"C"
"218",196,"C"
"219",42,"C"
"220",33,"C"
"221",134,"C"
"222",75,"C"
"223",16,"C"
"224",77,"C"
"225",37,"C"
"226",31,"C"
"227",60,"C"
"228",265,"C"
"229",212,"C"
"230",216,"C"
"231",302,"C"
"232",14,"C"
"233",32,"C"
"234",53,"C"
"235",211,"C"
"236",205,"B"
"237",124,"C"
"238",25,"B"
"239",91,"B"
"240",253,"B"
"241",43,"C"
"242",32,"C"
"243",13,"C"
"244",131,"C"
"245",33,"C"
"246",125,"C"
"247",45,"B"
"248",102,"C"
"249",26,"C"
"250",75,"C"
"251",46,"C"
"252",11,"B"
"253",47,"C"
"254",259,"B"
"255",127,"B"
"256",145,"B"
"257",21,"C"
"258",12,"C"
"259",20,"C"
"260",31,"C"
"261",130,"B"
"262",29,"C"
"263",91,"C"
"264",91,"B"
"265",54,"B"
"266",156,"B"
"267",62,"B"
"268",183,"C"
"269",71,"C"
"270",67,"C"
"271",87,"B"
"272",40,"B"
"273",32,"C"
"274",130,"C"
"275",56,"B"
"276",27,"C"
"277",52,"C"
"278",150,"C"
"279",109,"C"
"280",54,"C"
"281",49,"C"
"282",119,"B"
"283",285,"C"
"284",48,"C"
"285",81,"C"
"286",147,"B"
"287",48,"C"
"288",71,"B"
"289",10,"C"
"290",57,"C"
"291",51,"C"
"292",37,"C"
"293",43,"B"
"294",94,"C"
"295",70,"C"
"296",104,"C"
"297",229,"C"
"298",37,"C"
"299",64,"C"
"300",63,"C"
"301",107,"C"
"302",142,"C"
"303",200,"C"
"304",115,"B"
"305",29,"C"
"306",103,"B"
"307",206,"C"
"308",17,"C"
"309",105,"C"
"310",76,"C"
"311",282,"C"
"312",45,"C"
"313",175,"C"
"314",34,"C"
"315",45,"C"
"316",251,"B"
"317",21,"C"
"318",77,"C"
"319",8,"C"
"320",17,"C"
"321",18,"B"
"322",112,"C"
"323",253,"C"
"324",78,"C"
"325",10,"C"
"326",199,"B"
"327",92,"C"
"328",48,"C"
"329",226,"B"
"330",54,"C"
"331",117,"C"
"332",166,"B"
"333",102,"C"
"334",18,"C"
"335",43,"C"
"336",97,"B"
"337",187,"C"
"338",18,"C"
"339",189,"B"
"340",30,"C"
"341",53,"C"
"342",73,"C"
"343",30,"C"
"344",20,"C"
"345",16,"C"
"346",87,"C"
"347",152,"C"
"348",276,"C"
"349",25,"C"
"350",88,"B"
"351",118,"C"
"352",23,"C"
"353",13,"C"
"354",118,"C"
