"","TTE","PATCH"
"355",36,"C"
"356",406,"C"
"357",311,"C"
"358",235,"C"
"359",170,"B"
"360",131,"C"
"361",79,"C"
"362",408,"C"
"363",393,"B"
"364",125,"C"
"365",212,"C"
"366",128,"B"
"367",190,"C"
"368",57,"C"
"369",89,"C"
"370",156,"C"
"371",459,"C"
"372",493,"C"
"373",475,"C"
"374",188,"C"
"375",193,"C"
"376",276,"B"
"377",365,"C"
"378",204,"C"
"379",344,"C"
"380",460,"B"
"381",490,"C"
"382",96,"C"
"383",464,"C"
"384",235,"C"
"385",169,"C"
"386",355,"B"
"387",23,"C"
"388",112,"C"
"389",288,"C"
"390",206,"C"
"391",153,"C"
"392",79,"C"
"393",198,"C"
"394",483,"C"
"395",195,"C"
"396",180,"C"
"397",416,"C"
"398",171,"C"
"399",101,"B"
"400",473,"C"
"401",355,"C"
"402",147,"C"
"403",71,"C"
"404",280,"C"
"405",471,"C"
"406",383,"B"
"407",258,"C"
"408",57,"C"
"409",293,"C"
"410",458,"C"
"411",284,"C"
"412",248,"C"
"413",124,"C"
"414",443,"C"
"415",143,"C"
"416",207,"C"
"417",501,"B"
"418",261,"C"
"419",53,"C"
"420",389,"B"
"421",408,"C"
"422",242,"C"
"423",52,"C"
"424",268,"C"
"425",362,"C"
"426",218,"B"
"427",100,"C"
"428",308,"C"
"429",90,"C"
"430",285,"C"
"431",385,"C"
"432",138,"C"
"433",214,"C"
"434",289,"C"
"435",90,"C"
"436",326,"C"
"437",172,"C"
"438",208,"C"
"439",362,"B"
"440",338,"C"
"441",406,"C"
"442",214,"C"
"443",418,"C"
"444",420,"C"
"445",74,"C"
"446",268,"C"
"447",165,"C"
"448",219,"C"
"449",38,"C"
"450",241,"C"
"451",222,"B"
"452",59,"C"
"453",245,"C"
"454",184,"C"
"455",179,"B"
"456",150,"C"
"457",138,"C"
"458",405,"C"
"459",48,"C"
"460",28,"C"
"461",362,"B"
"462",337,"C"
"463",50,"B"
"464",112,"B"
"465",147,"C"
"466",77,"C"
"467",150,"C"
"468",127,"C"
"469",371,"C"
"470",39,"C"
"471",417,"B"
"472",296,"C"
"473",443,"C"
"474",422,"C"
"475",113,"C"
"476",121,"C"
"477",211,"C"
"478",182,"C"
